VideoNo,VideoResolution,VideoDuration,FrameRate,FrameCount,Content,Category,Bitrate,VideoLink,DropboxLink
1,2560*1440,4:38,29,8341,Weekly Idol-Dancing,Performance,5870,https://www.youtube.com/watch?v=bFE2PN9_THI,https://www.dropbox.com/s/pval1l5asrdk059/2-1-Korean.mp4?dl=0
2,2880*1440,5:41,25,8526,Damai Music Live-Vocie Toy,Performance,5219,http://www.utovr.com/video/161611197214.html,https://www.dropbox.com/s/o5vrhqnfliflugg/2-2-VoiceToy.mp4?dl=0
3,1920*960,3:07,25,2822,Rio Olympics VR Interview,Talkshow,4331,http://v.youku.com/v_show/id_XMTY5MTAxNjE4MA,https://www.dropbox.com/s/kvvzox0dl3nu0qy/2-3-RioVR.mp4?dl=0
4,3840*1920,6:01,29,10829,Female Basketball Match,Sport,3923,https://www.youtube.com/watch?v=SQpA0L0ldxY,https://www.dropbox.com/s/xv9yuvrz7afrj28/2-4-FemaleBasketball.mp4?dl=0
5,2560*1440,2:52,15,5066,SHOWTIME Boxing,Sport,9092,https://www.youtube.com/watch?v=raKh0OIERew,https://www.dropbox.com/s/2kzw8yqrwo5366z/2-5-Fighting.mp4?dl=0
6,2560*1440,3:25,29,6162,Gear 360: Anitta,Performance,5770,https://www.youtube.com/watch?v=X734NnwK5Z4,https://www.dropbox.com/s/qls5d4hlrwrwlu1/2-6-Anitta.mp4?dl=0
7,2400*1200,6:13,16,5969,2016 CCTV Spring Festival Gala,Performance,3128,https://www.dropbox.com/s/y3s6f24cp03dsna/2-7-TFBoy.mp4,https://www.dropbox.com/s/y3s6f24cp03dsna/2-7-TFBoy.mp4?dl=0
8,2880*1440,3:46,30,6780,VR Concert,Performance,2998,http://v.youku.com/v_show/id_XMTczMDcyOTMxNg,https://www.dropbox.com/s/lwtp9r6bpz2bz2r/2-8-Reloaded.mp4?dl=0
9,2880*1440,8:40,29,15599,Hey VR Interview,Talkshow,3323,http://v.youku.com/v_show/id_XMTgzMTcwODgzMg,https://www.dropbox.com/s/lwtp9r6bpz2bz2r/2-8-Reloaded.mp4?dl=0
